"R0000100","R0173600","R0214700","R0214800","R0263710","R0446810","R0702510","R0709400","R0709500","R0712100","R0712200","R0712300","R0712400","R0712500","R0833200","R0833400","R0840100","R0841010","R0854110","R0896711"
7832,14,1,2,-4,330,350,0,1,0,-4,-4,-4,-4,2,81,1,350,-4,0
7833,14,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
7834,10,2,1,-4,550,879,1,1,0,-4,-4,-4,-4,5,81,1,879,500,1
7835,13,2,2,416,312,465,0,1,0,-4,-4,-4,-4,1,81,1,465,-4,1
7836,13,2,2,-4,-4,-4,0,1,0,-4,-4,-4,-4,3,82,1,-4,-4,0
7837,11,1,1,280,385,280,1,0,-4,-4,-4,-4,-4,4,81,1,280,-4,0
7838,14,1,2,-4,405,400,1,1,0,-4,-4,-4,-4,3,82,1,400,-4,1
7839,10,2,1,-4,-4,83,0,0,-4,-4,-4,-4,-4,9,81,1,83,-4,1
7840,11,1,1,1111,500,400,0,0,-4,-4,-4,-4,-4,1,82,1,400,-4,1
7841,14,1,2,185,442,433,0,0,-4,-4,-4,-4,-4,9,81,1,433,500,1
7842,14,1,2,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
7843,11,1,1,-4,-4,487,0,1,1,3,600,1,9,12,81,1,487,-4,1
7844,14,1,2,-5,-5,342,1,0,-4,-4,-4,-4,-4,1,82,0,-4,342,1
7845,10,2,1,-4,335,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7846,13,2,2,-4,375,390,0,0,-4,-4,-4,-4,-4,4,81,1,390,-4,1
7847,10,2,1,430,537,1010,1,0,-4,-4,-4,-4,-4,7,81,1,1010,-4,0
7848,10,2,1,-4,500,-4,0,1,0,-4,-4,-4,-4,1,82,1,-4,521,0
7849,13,2,2,-4,-4,225,0,1,0,-4,-4,-4,-4,10,81,1,225,-4,0
7850,13,2,2,348,392,35,1,0,-4,-4,-4,-4,-4,5,81,1,35,465,1
7851,13,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
7852,10,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
7853,13,2,2,414,377,504,1,1,0,-4,-4,-4,-4,2,82,1,504,436,1
7854,10,2,1,315,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
7855,10,2,1,310,500,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7856,13,2,2,-4,300,222,0,1,0,-4,-4,-4,-4,2,81,1,222,-4,1
7857,10,2,1,310,142,510,1,1,0,-4,-4,-4,-4,9,81,1,510,335,1
7858,10,2,1,1100,668,583,0,1,0,-4,-4,-4,-4,4,81,1,583,-4,1
7859,10,2,1,-5,500,600,1,0,-4,-4,-4,-4,-4,4,81,1,600,-4,0
7860,10,2,1,-4,375,750,0,1,0,-4,-4,-4,-4,4,81,1,750,-4,1
7861,10,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-3
7862,10,2,1,-4,995,1201,1,0,-4,-4,-4,-4,-4,4,81,1,1201,-4,1
7863,9,3,1,525,541,760,1,0,-4,-4,-4,-4,-4,10,81,1,760,-4,1
