case_id,sample_id,sample_race,sample_sex,offered_wage,previous_wage,acceptance_yn
11477.0,18.0,3.0,2.0,315.0,288.0,n
11615.0,15.0,3.0,1.0,900.0,770.0,y
11615.0,15.0,3.0,1.0,650.0,770.0,n
11710.0,18.0,3.0,2.0,450.0,413.0,y
11710.0,18.0,3.0,2.0,425.0,413.0,n
11757.0,5.0,3.0,2.0,345.0,200.0,y
11757.0,5.0,3.0,2.0,335.0,200.0,n
11798.0,7.0,2.0,2.0,335.0,116.0,y
11798.0,7.0,2.0,2.0,335.0,116.0,n
11807.0,5.0,3.0,2.0,287.0,100.0,y
11807.0,5.0,3.0,2.0,340.0,100.0,n
11847.0,5.0,3.0,2.0,444.0,200.0,y
11847.0,5.0,3.0,2.0,300.0,200.0,n
11873.0,5.0,3.0,2.0,500.0,833.0,y
11873.0,5.0,3.0,2.0,350.0,833.0,n
11883.0,4.0,1.0,1.0,461.0,444.0,y
11883.0,4.0,1.0,1.0,335.0,444.0,n
11980.0,8.0,1.0,2.0,425.0,375.0,y
11980.0,8.0,1.0,2.0,335.0,375.0,n
12026.0,1.0,3.0,1.0,485.0,428.0,y
12026.0,1.0,3.0,1.0,290.0,428.0,n
12028.0,5.0,3.0,2.0,350.0,245.0,y
12028.0,5.0,3.0,2.0,350.0,245.0,n
12033.0,1.0,3.0,1.0,769.0,310.0,y
12033.0,1.0,3.0,1.0,525.0,310.0,n
12098.0,8.0,1.0,2.0,400.0,296.0,y
12098.0,8.0,1.0,2.0,350.0,296.0,n
12284.0,14.0,1.0,2.0,400.0,328.0,y
12284.0,14.0,1.0,2.0,450.0,328.0,n
